Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Section__c,EventApi__Is_Assigned__c,EventApi__Seat_Number__c,EventApi__Section__r.External_Id__c
a284W00000MsuGFQAZ,false,SEAT-00000192,1,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,true,1,1
a284W00000MsuGGQAZ,false,SEAT-00000193,2,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,true,2,1
a284W00000MsuGHQAZ,false,SEAT-00000194,3,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,true,3,1
a284W00000MsuGIQAZ,false,SEAT-00000195,4,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,true,4,1
a284W00000MsuGMQAZ,false,SEAT-00000196,5,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,5,1
a284W00000MsuGNQAZ,false,SEAT-00000197,6,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,6,1
a284W00000MsuGOQAZ,false,SEAT-00000198,7,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,7,1
a284W00000MsuGPQAZ,false,SEAT-00000199,8,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,8,1
a284W00000MsuGbQAJ,false,SEAT-00000211,9,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,20,1
a284W00000MsuGcQAJ,false,SEAT-00000212,10,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,21,1
a284W00000MsuGdQAJ,false,SEAT-00000213,11,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,22,1
a284W00000MsuGQQAZ,false,SEAT-00000200,12,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,9,1
a284W00000MsuGRQAZ,false,SEAT-00000201,13,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,10,1
a284W00000MsuGSQAZ,false,SEAT-00000202,14,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,11,1
a284W00000MsuGTQAZ,false,SEAT-00000203,15,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,12,1
a284W00000MsuGUQAZ,false,SEAT-00000204,16,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,13,1
a284W00000MsuGVQAZ,false,SEAT-00000205,17,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,14,1
a284W00000MsuGWQAZ,false,SEAT-00000206,18,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,15,1
a284W00000MsuGXQAZ,false,SEAT-00000207,19,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,16,1
a284W00000MsuGYQAZ,false,SEAT-00000208,20,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,17,1
a284W00000MsuGZQAZ,false,SEAT-00000209,21,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,18,1
a284W00000MsuGaQAJ,false,SEAT-00000210,22,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,19,1
a284W00000MsuGeQAJ,false,SEAT-00000214,23,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,23,1
a284W00000MsuGfQAJ,false,SEAT-00000215,24,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,24,1
a284W00000MsuGgQAJ,false,SEAT-00000216,25,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,25,1
a284W00000MsuGhQAJ,false,SEAT-00000217,26,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,26,1
a284W00000MsuGiQAJ,false,SEAT-00000218,27,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,27,1
a284W00000MsuGjQAJ,false,SEAT-00000219,28,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,28,1
a284W00000MsuGkQAJ,false,SEAT-00000220,29,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,29,1
a284W00000MsuGlQAJ,false,SEAT-00000221,30,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZAUA4,false,30,1
a284W00000MsuGmQAJ,false,SEAT-00000222,31,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZBUA4,false,1,2
a284W00000MsuGnQAJ,false,SEAT-00000223,32,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZBUA4,false,2,2
a284W00000MsuHXQAZ,false,SEAT-00000269,33,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZGUA4,false,8,7
a284W00000MsuHYQAZ,false,SEAT-00000270,34,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZHUA4,false,1,8
a284W00000MsuHZQAZ,false,SEAT-00000271,35,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZHUA4,false,2,8
a284W00000MsuHaQAJ,false,SEAT-00000272,36,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZHUA4,false,3,8
a284W00000MsuHbQAJ,false,SEAT-00000273,37,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZHUA4,false,4,8
a284W00000MsuHcQAJ,false,SEAT-00000274,38,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZHUA4,false,5,8
a284W00000MsuHdQAJ,false,SEAT-00000275,39,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZHUA4,false,6,8
a284W00000MsuHeQAJ,false,SEAT-00000276,40,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZHUA4,false,7,8
a284W00000MsuHfQAJ,false,SEAT-00000277,41,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZHUA4,false,8,8
a284W00000MsuHgQAJ,false,SEAT-00000182,42,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZMUA4,false,21,13
a284W00000MsuHhQAJ,false,SEAT-00000183,43,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZMUA4,false,22,13
a284W00000MsuHiQAJ,false,SEAT-00000184,44,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZMUA4,false,23,13
a284W00000MsuHjQAJ,false,SEAT-00000185,45,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZMUA4,false,24,13
a284W00000MsuHkQAJ,false,SEAT-00000186,46,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZMUA4,false,25,13
a284W00000MsuHlQAJ,false,SEAT-00000187,47,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZMUA4,false,26,13
a284W00000MsuHmQAJ,false,SEAT-00000188,48,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZMUA4,false,27,13
a284W00000MsuHnQAJ,false,SEAT-00000189,49,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZMUA4,false,28,13
a284W00000MsuHoQAJ,false,SEAT-00000190,50,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZMUA4,false,29,13
a284W00000MsuHpQAJ,false,SEAT-00000191,51,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZMUA4,false,30,13
a284W00000MsuHqQAJ,false,SEAT-00000086,52,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZIUA4,false,1,9
a284W00000MsuHrQAJ,false,SEAT-00000087,53,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZIUA4,false,2,9
a284W00000MsuHsQAJ,false,SEAT-00000088,54,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZIUA4,false,3,9
a284W00000MsuHtQAJ,false,SEAT-00000089,55,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZIUA4,false,4,9
a284W00000MsuHuQAJ,false,SEAT-00000090,56,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZIUA4,false,5,9
a284W00000MsuHvQAJ,false,SEAT-00000091,57,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZIUA4,false,6,9
a284W00000MsuHwQAJ,false,SEAT-00000092,58,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZIUA4,false,7,9
a284W00000MsuHxQAJ,false,SEAT-00000093,59,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZIUA4,false,8,9
a284W00000MsuHyQAJ,false,SEAT-00000094,60,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZJUA4,true,1,10
a284W00000MsuHzQAJ,false,SEAT-00000095,61,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZJUA4,false,2,10
a284W00000MsuI0QAJ,false,SEAT-00000096,62,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZJUA4,false,3,10
a284W00000MsuI1QAJ,false,SEAT-00000097,63,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZJUA4,false,4,10
a284W00000MsuI2QAJ,false,SEAT-00000098,64,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZJUA4,false,5,10
a284W00000MsuI3QAJ,false,SEAT-00000099,65,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZJUA4,false,6,10
a284W00000MsuI4QAJ,false,SEAT-00000100,66,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZJUA4,false,7,10
a284W00000MsuI5QAJ,false,SEAT-00000101,67,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZJUA4,false,8,10
a284W00000MsuI6QAJ,false,SEAT-00000102,68,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZKUA4,false,1,11
a284W00000MsuI7QAJ,false,SEAT-00000103,69,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZKUA4,false,2,11
a284W00000MsuI8QAJ,false,SEAT-00000104,70,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZKUA4,false,3,11
a284W00000MsuI9QAJ,false,SEAT-00000105,71,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZKUA4,false,4,11
a284W00000MsuIAQAZ,false,SEAT-00000106,72,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZKUA4,false,5,11
a284W00000MsuIBQAZ,false,SEAT-00000107,73,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZKUA4,false,6,11
a284W00000MsuICQAZ,false,SEAT-00000108,74,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZKUA4,false,7,11
a284W00000MsuIDQAZ,false,SEAT-00000109,75,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZKUA4,false,8,11
a284W00000MsuIEQAZ,false,SEAT-00000110,76,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZLUA4,false,1,12
a284W00000MsuIFQAZ,false,SEAT-00000111,77,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZLUA4,false,2,12
a284W00000MsuIGQAZ,false,SEAT-00000112,78,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZLUA4,false,3,12
a284W00000MsuIHQAZ,false,SEAT-00000113,79,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZLUA4,false,4,12
a284W00000MsuIIQAZ,false,SEAT-00000114,80,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZLUA4,false,5,12
a284W00000MsuIJQAZ,false,SEAT-00000115,81,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZLUA4,false,6,12
a284W00000MsuIKQAZ,false,SEAT-00000116,82,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZLUA4,false,7,12
a284W00000MsuILQAZ,false,SEAT-00000117,83,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZLUA4,false,8,12
a284W00000MsuIMQAZ,false,SEAT-00000118,84,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZNUA4,false,1,14
a284W00000MsuINQAZ,false,SEAT-00000119,85,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZNUA4,false,2,14
a284W00000MsuIOQAZ,false,SEAT-00000120,86,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZNUA4,false,3,14
a284W00000MsuIPQAZ,false,SEAT-00000121,87,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZNUA4,false,4,14
a284W00000MsuIQQAZ,false,SEAT-00000122,88,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZNUA4,false,5,14
a284W00000MsuIRQAZ,false,SEAT-00000123,89,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZNUA4,false,6,14
a284W00000MsuISQAZ,false,SEAT-00000124,90,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZNUA4,false,7,14
a284W00000MsuITQAZ,false,SEAT-00000125,91,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZNUA4,false,8,14
a284W00000MsuIUQAZ,false,SEAT-00000126,92,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:37.000+0000,2020-09-24T07:28:37.000+0000,a2A4W000006ELZOUA4,false,1,15
