Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,PagesApi__Page_Element__c,PagesApi__Key__c,PagesApi__Type__c,PagesApi__Value__c,PagesApi__Page_Element__r.Id
a0X4W00001tyuRZUAY,false,70,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,numberOfPaymentsAllTimeLabel,String,For All Time,a0Y4W00000GYay5UAD
a0X4W00001tyuROUAY,false,59,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,catalog,String,a0s4W00000ddtfHQAQ,a0Y4W00000GYay5UAD
a0X4W00001tyuRPUAY,false,60,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,title,String,Fundraising for a Education!,a0Y4W00000GYay5UAD
a0X4W00001tyuRQUAY,false,61,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,instructions,String,Donate today to make a difference..,a0Y4W00000GYay5UAD
a0X4W00001tyuRRUAY,false,62,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,selectAmountLabel,String,Donate,a0Y4W00000GYay5UAD
a0X4W00001tyuRSUAY,false,63,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,suggestedLevelOfGiving,String,"10,100, 200,500,100",a0Y4W00000GYay5UAD
a0X4W00001tyuRTUAY,false,64,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,enableOtherAmount,Boolean,true,a0Y4W00000GYay5UAD
a0X4W00001tyuRUUAY,false,65,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,otherDonationLabel,String,Other,a0Y4W00000GYay5UAD
a0X4W00001tyuRVUAY,false,66,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,donationAmountLabel,String,Donation Amount,a0Y4W00000GYay5UAD
a0X4W00001tyuRWUAY,false,67,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,donationTypeLabel,String,Donation Type,a0Y4W00000GYay5UAD
a0X4W00001tyuRXUAY,false,68,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,oneTimeDonationLabel,String,One-Time,a0Y4W00000GYay5UAD
a0X4W00001tyuRYUAY,false,69,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,a0Y4W00000GYay5UAD,recurringDonationLabel,String,Monthly,a0Y4W00000GYay5UAD
