Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Component_Name__c,EventApi__Config__c,EventApi__Event_Page__c,EventApi__Order__c,EventApi__Title__c,EventApi__HTML__c,EventApi__Event_Page__r.External_Id__c
a244W000006a0v8QAA,false,EPC-0000439,1,2020-08-28T02:16:22.000+0000,2020-09-24T05:50:30.000+0000,2020-09-24T05:50:30.000+0000,LTE:FeaturedEventSpeakers,{},a254W000001Y9k6QAC,2,,,16
a244W000006a0v9QAA,false,EPC-0000441,2,2020-08-28T02:16:22.000+0000,2020-09-24T05:50:30.000+0000,2020-09-24T05:50:30.000+0000,LTE:EventAgenda,{},a254W000001Y9k7QAC,1,,,17
a244W000006a0v7QAA,false,EPC-0000438,3,2020-08-28T02:16:22.000+0000,2020-09-24T05:50:30.000+0000,2020-09-24T05:50:30.000+0000,LTE:EventCustomHTML,{},a254W000001Y9k6QAC,1,,"<p><strong>World Renowned Event</strong></p><p>There is no better place for professional development than the Annual Symposium. By attending, you&rsquo;ll gain the tools and resources you need to implement successful practices &ndash; which help your company succeed.</p><p><br></p><p><strong>Fresh Perspectives</strong></p><p>Internationally-renowned speakers that offer fresh points of view and inspiring stories that can help shift your perspectives and deepen your understanding of leadership, motivation, and success.</p>",16
a244W000006a0vAQAQ,false,EPC-0000442,4,2020-08-28T02:16:22.000+0000,2020-09-24T05:50:30.000+0000,2020-09-24T05:50:30.000+0000,LTE:EventPrimaryVenue,{},a254W000001Y9k8QAC,1,,,18
a244W000006a0vBQAQ,false,EPC-0000443,5,2020-08-28T02:16:22.000+0000,2020-09-24T05:50:30.000+0000,2020-09-24T05:50:30.000+0000,LTE:EventSecondaryVenues,{},a254W000001Y9k8QAC,2,,,18
a244W000006a0vCQAQ,false,EPC-0000444,6,2020-08-28T02:16:22.000+0000,2020-09-24T05:50:30.000+0000,2020-09-24T05:50:30.000+0000,LTE:EventVenueMap,{},a254W000001Y9k8QAC,3,,,18
a244W000006a0vDQAQ,false,EPC-0000445,7,2020-08-28T02:16:22.000+0000,2020-09-24T05:50:30.000+0000,2020-09-24T05:50:30.000+0000,LTE:EventSpeakers,{},a254W000001Y9k9QAC,1,,,19
a244W000006a0vEQAQ,false,EPC-0000446,8,2020-08-28T02:16:22.000+0000,2020-09-24T05:50:30.000+0000,2020-09-24T05:50:30.000+0000,LTE:FeaturedEventSponsors,{},a254W000001Y9kAQAS,1,,,20
a244W000006a0vFQAQ,false,EPC-0000447,9,2020-08-28T02:16:22.000+0000,2020-09-24T05:50:30.000+0000,2020-09-24T05:50:30.000+0000,LTE:EventCustomHTML,{},a254W000001Y9kAQAS,2,,"<h2><strong>Sponsorship</strong></h2><p><br></p><p>Sponsorship at the Annual Meeting gets your message in front of hundreds of decision-makers at independent schools across the country. More than 1,200 education professionals involved with business, finance, and administration attended the 2019 meeting in Washington, D.C., once again setting an attendance record for the Annual Meeting. Below is a list of sponsorship opportunities at this year&#39;s conference.</p><p><br></p><p><strong>Questions?</strong> Contact Chris Arthur at <a href=""mailto:chris.kalavsky@nboa.org"" target=""_blank""><strong><u>chris.</u></strong></a><strong><u>arthur@mailinator.com&nbsp;</u></strong>or call 202-407-7146.</p><p><br></p><h2><strong>Levels and Offerings</strong></h2><h3><br></h3><h3><strong>Gold&nbsp;$10,000</strong></h3><ul><li>2020 Annual Meeting Mobile App</li><li>First-Time Attendee Reception (held prior to Opening Reception)</li><li>Annual Meeting Lanyard</li><li>Annual Meeting Giveaway</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udeQAA"" target=""_blank"">Click here&nbsp;</a>to Purchase</p><p><br></p><h3><strong>Silver&nbsp;$6,000</strong></h3><ul><li>Annual Meeting Hotel Key Card</li><li>Charging Stations</li><li>Wi-Fi*</li><li>Session Tracks</li><li><em>Net Assets</em> Photo Booth</li><li>Headshot Booth</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udfQAA"" target=""_blank"">Click here</a> to Purchase</p><p><br></p><h3><strong>Bronze&nbsp;$4,000</strong></h3><ul><li>Breakfast (limited quantities)</li><li>AM/PM Break (limited quantities)</li><li>Fun Run</li><li>Yoga</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udgQAA"" target=""_blank"">Click here</a> to Purchase</p>",20
a244W000006a0vGQAQ,false,EPC-0000511,10,2020-08-28T02:16:22.000+0000,2020-09-24T05:50:30.000+0000,2020-09-24T05:50:30.000+0000,LTE:EventCustomHTML,{},a254W000001Y9kBQAS,0,,"<div class=""slds-grid slds-wrap"">
<div class=""slds-size--1-of-1 slds-m-bottom--large"" data-type=""pane"">
<div class=""slds-grid"">
<div class=""slds-size--1-of-2""><img title=""speaker"" src=""https://fonteva-demo.s3.amazonaws.com/events/speaker1.jpg"" alt=""speaker"" /></div>
<div class=""slds-size--1-of-2"">
<p class=""slds-text-heading--medium slds-font-weight--semi-bold slds-m-bottom--small"">World Renowned Event</p>
<p>There is no better place for professional development than the Annual Conference &amp; Exposition. By attending, you&rsquo;ll gain the tools and resources you need to implement successful practices &ndash; which help your company succeed.</p>
<p class=""slds-text-heading--medium slds-font-weight--semi-bold slds-m-bottom--small slds-m-top--medium"">Fresh Perspectives</p>
<p class=""slds-m-bottom--x-small slds-m-top--medium"">Internationally-renowned speakers that offer fresh points of view and inspiring stories that can help shift your perspectives and deepen your understanding of leadership, motivation, and success.</p>
</div>
</div>
</div>
</div>",22
