Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,PagesApi__Allow_Users_to_Delete_Mapped_Records__c,PagesApi__DML_Operation__c,PagesApi__Form__c,PagesApi__Instructions__c,PagesApi__Is_Multiple__c,PagesApi__Mapped_Object__c,PagesApi__Mapped_Relationship_Field__c,PagesApi__Order__c,PagesApi__Parent_Field_Group__c,PagesApi__SOQL_Filter__c,PagesApi__Form__r.Id,PagesApi__Parent_Field_Group__r.External_Id__c
a0O4W00001UeohKUAR,false,My Events,1,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,Upsert,a0S4W00000WTI2aUAH,,true,eventapi__attendee__c,,1,,EventApi__Contact__c = '{{usr.ContactId}}',a0S4W00000WTI2aUAH,
a0O4W00001UeohLUAR,false,Dietary Preferences,2,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,,a0S4W00000WTI2bUAH,,false,,,2,,,a0S4W00000WTI2bUAH,
a0O4W00001UeohMUAR,false,Event Feedback,3,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,,a0S4W00000WTI2cUAH,Thank you for participating in our event. We hope you had as much fun attending as we did organizing it. We want to hear your feedback so we can keep improving our logistics and content. Please fill this quick survey and let us know your thoughts (your answers will be anonymous).,false,,,1,,,a0S4W00000WTI2cUAH,
a0O4W00001UeohNUAR,false,Sessions Feedback,4,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,,a0S4W00000WTI2cUAH,,false,,,2,,,a0S4W00000WTI2cUAH,
a0O4W00001UeohOUAR,false,Speaker Feedback,5,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,,a0S4W00000WTI2cUAH,,false,,,3,,,a0S4W00000WTI2cUAH,
a0O4W00001UeohPUAR,false,Venue Feedback,6,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,,a0S4W00000WTI2cUAH,,false,,,4,,,a0S4W00000WTI2cUAH,
a0O4W00001UeohQUAR,false,Prospective Speaker Information,7,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,Insert,a0S4W00000WTI2dUAH,,false,eventapi__speaker__c,,,,,a0S4W00000WTI2dUAH,
a0O4W00001UeohRUAR,false,Company Information,8,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,Insert,a0S4W00000WTI2eUAH,,false,account,,,,,a0S4W00000WTI2eUAH,
a0O4W00001UeohSUAR,false,Company,9,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,Upsert,a0S4W00000WTI2fUAH,,false,account,,,,Id ='{{usr.AccountId}}',a0S4W00000WTI2fUAH,
a0O4W00001UeohTUAR,false,Registrant Information,10,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,,a0S4W00000WTI2gUAH,,false,,,1,,,a0S4W00000WTI2gUAH,
a0O4W00001UeohUUAR,false,Employee Information,11,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,Insert,a0S4W00000WTI2eUAH,Please enter the contact info for those individuals in your company that will be using benefits,true,contact,AccountId,,a0O4W00001UeohRUAR,,a0S4W00000WTI2eUAH,8
a0O4W00001UeohVUAR,false,Company information,12,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,Upsert,a0S4W00000WTI2hUAH,,false,contact,,1,,Id='{{usr.ContactId}}',a0S4W00000WTI2hUAH,
a0O4W00001UeohWUAR,false,Mailing Address,13,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,true,Upsert,a0S4W00000WTI2hUAH,,true,contact,,2,,Id='{{usr.ContactId}}',a0S4W00000WTI2hUAH,
a0O4W00001UeohXUAR,false,Donate to a cause,14,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,Upsert,a0S4W00000WTI2hUAH,,false,contact,,3,,Id='{{usr.ContactId}}',a0S4W00000WTI2hUAH,
a0O4W00001UeohYUAR,false,Community Group Member Information,15,2020-08-28T02:16:22.000+0000,2020-09-23T11:16:58.000+0000,2020-09-23T11:16:58.000+0000,false,Upsert,a0S4W00000WTI2iUAH,,false,pagesapi__community_group__c,,1,,Id= {{url.communitygroup}},a0S4W00000WTI2iUAH,
