Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,PagesApi__Description__c,PagesApi__Display_Style__c,PagesApi__Submit_Style__c,PagesApi__Submit_Value__c,PagesApi__User_Instructions__c,PagesApi__Wizard_Review_Instructions__c,Form_URL__c,FON_Lightning_Form_URL__c,LastViewedDate,LastReferencedDate
a0S4W00000WTI2pUAH,false,FON-Sponsorship Form,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,Standard,,,This Form is used to collect Sponsorship information for given events.,Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S4W00000WTI2p,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WTI2p,,
a0S4W00000WTI2sUAH,false,FON-Membership Referral,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,Form to collect Individual demographics for membership outreach,Standard,,,Form to collect Individual demographics for membership outreach,Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S4W00000WTI2s,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WTI2s,,
a0S4W00000WTI2iUAH,false,FON-Community Group Member,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,"This form is used to add Community Group Members within a Community Group.  Add ""&communitygroup=[community group id]"" to the end of the Form URL for this form to work, where [community group id] is the Salesforce ID of the community group that you would want to add community group Members to.",Standard,,,"This form is used to add Community Group Members within a Community Group.  Add ""&communitygroup=[community group id]"" to the end of the Form URL for this form to work, where [community group id] is the Salesforce ID of the community group that you would want to add community group Members to.",Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S4W00000WTI2i,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WTI2i,,
a0S4W00000WTI2gUAH,false,FON-Webinar Info,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,This form is to collect Webinar interest and is coupled to the ticket types on the FON-Webinar - Our Mission - Free Event (Simple Event),Standard,,,This form is to collect Webinar interest and is coupled to the ticket types on the FON-Webinar - Our Mission - Free Event (Simple Event),Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S4W00000WTI2g,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WTI2g,,
a0S4W00000WTI2dUAH,false,FON-Annual Conference Speaker Request Form,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,"This form creates a new speaker record and binds the Speaker brecords to an event that is passd over the url . Add ""&eventid=[eventid]"" to the end of the Form URL for this form to work, where [eventid] is the Salesforce ID of the event you would like the new Speaker to be connected to.",Standard,Javascript,"alert(""Thank you for your feedback!"");","This form creates a new speaker record and binds the Speaker brecords to an event that is passd over the url . Add ""&eventid=[eventid]"" to the end of the Form URL for this form to work, where [eventid] is the Salesforce ID of the event you would like the new Speaker to be connected to.",Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S4W00000WTI2d,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WTI2d,,
a0S4W00000WTI2jUAH,false,FON-Company Membership Application,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,This Form is used to collect all the information that is required for a Company/Organizational Membership. It is used in the Join Process 'FON - Individual Membership Application',Standard,Javascript,"(""Thank you for providing your company information."")",This Form is used to collect all the information that is required for a Company/Organizational Membership. It is used in the Join Process 'FON - Individual Membership Application',Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S4W00000WTI2j,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WTI2j,,
a0S4W00000WTI2cUAH,false,FON-Post-Conference Survey,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,This is a Post Conference survey form that can be sent to the Event Attendees post Event,Wizard,Javascript,"alert(""Thank you for your feedback!"");",This is a Post Conference survey form that can be sent to the Event Attendees post Event,Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S4W00000WTI2c,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WTI2c,,
a0S4W00000WTI2bUAH,false,FON-Lightning Events Registration Form,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,Event Registration Questionnaire. This form is tied to the event 'FON-Annual Meeting (Conference Style Event)',Standard,,,Event Registration Questionnaire. This form is tied to the event 'FON-Annual Meeting (Conference Style Event)',Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S4W00000WTI2b,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WTI2b,,
a0S4W00000WTI2nUAH,false,FON-Attendee Registration,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,This form is used to collect Attendee Information,Standard,,,This form is used to collect Attendee Information,Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S4W00000WTI2n,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WTI2n,,
a0S4W00000WTI2rUAH,false,FON - Pick Your Region Form,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,,Standard,,,,Please review your answers and make any necessary corrections before submitting this form.,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/cpbase__form?ID=a0S4W00000WTI2r,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/s/form?id=a0S4W00000WTI2r,,
