Id,IsDeleted,Name,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Enable_Transition_for_Status__c,EventApi__Event__c,EventApi__Is_Current_Status_for_Event__c,EventApi__Is_Event_Active__c,EventApi__Is_Event_Published__c,EventApi__Order__c,EventApi__Status_Transition_Criteria__c,EventApi__Closed_Status_Text__c,EventApi__Filter_Transition_Criteria__c,EventApi__Event__r.Id
a274W000005Jy0kQAC,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxtUAE,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,a1Y4W000002bRxtUAE
a274W000005Jy0lQAC,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy0UAE,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,a1Y4W000002bRy0UAE
a274W000005Jy0mQAC,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy0UAE,false,false,true,3,EventApi__End_Date__c < TODAY,,,a1Y4W000002bRy0UAE
a274W000005Jy0nQAC,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy0UAE,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,a1Y4W000002bRy0UAE
a274W000005Jy0oQAC,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxuUAE,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,a1Y4W000002bRxuUAE
a274W000005Jy0pQAC,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxuUAE,false,false,true,3,EventApi__End_Date__c < TODAY,,,a1Y4W000002bRxuUAE
a274W000005Jy0qQAC,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRxuUAE,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,a1Y4W000002bRxuUAE
a274W000005Jy0rQAC,false,Active,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy5UAE,true,true,true,2,EventApi__Ticket_Sales_Start_Date__c <= TODAY,,,a1Y4W000002bRy5UAE
a274W000005Jy0sQAC,false,Closed,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy5UAE,false,false,true,3,EventApi__End_Date__c < TODAY,,,a1Y4W000002bRy5UAE
a274W000005Jy0tQAC,false,Planned,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,2020-08-28T02:16:22.000+0000,false,a1Y4W000002bRy5UAE,false,false,false,1,EventApi__Ticket_Sales_Start_Date__c > TODAY,,,a1Y4W000002bRy5UAE
