Id,External_Id__c,EventApi__Event__c,EventApi__Event_Category__c,EventApi__Event__r.Id,EventApi__Event_Category__r.Id
a1j4W00000RiPlgQAF,1,,,,
a1j4W00000RiPlhQAF,2,,,,
a1j4W00000RiPliQAF,3,,,,
a1j4W00000RiPljQAF,4,,,,
a1j4W00000RiPllQAF,5,,,,
a1j4W00000RiPlkQAF,6,,,,
a1j4W00000RiPlmQAF,7,,,,
a1j4W00000RiPlnQAF,8,a1Y4W000002bRxsUAE,,a1Y4W000002bRxsUAE,
a1j4W00000RiPm4QAF,9,a1Y4W000002bRxsUAE,,a1Y4W000002bRxsUAE,
a1j4W00000RiPlxQAF,10,a1Y4W000002bRxsUAE,,a1Y4W000002bRxsUAE,
a1j4W00000RiPloQAF,11,a1Y4W000002bRxtUAE,,a1Y4W000002bRxtUAE,
a1j4W00000RiPm5QAF,12,a1Y4W000002bRxtUAE,,a1Y4W000002bRxtUAE,
a1j4W00000RiPlpQAF,13,a1Y4W000002bRxuUAE,,a1Y4W000002bRxuUAE,
a1j4W00000RiPm6QAF,14,a1Y4W000002bRy5UAE,,a1Y4W000002bRy5UAE,
a1j4W00000RiPmGQAV,15,,,,
a1j4W00000RiPmHQAV,16,,,,
a1j4W00000RiPluQAF,17,a1Y4W000002bRxyUAE,,a1Y4W000002bRxyUAE,
a1j4W00000RiPlwQAF,18,a1Y4W000002bRxyUAE,,a1Y4W000002bRxyUAE,
a1j4W00000RiPm7QAF,19,,,,
a1j4W00000RiPm8QAF,20,a1Y4W000002bRxzUAE,,a1Y4W000002bRxzUAE,
a1j4W00000RiPmIQAV,21,,,,
a1j4W00000RiPmJQAV,22,,,,
a1j4W00000RiPm9QAF,23,a1Y4W000002bRy3UAE,,a1Y4W000002bRy3UAE,
a1j4W00000RiPmAQAV,24,a1Y4W000002bRy2UAE,,a1Y4W000002bRy2UAE,
a1j4W00000RiPltQAF,25,a1Y4W000002bRxxUAE,,a1Y4W000002bRxxUAE,
a1j4W00000RiPmBQAV,26,,,,
a1j4W00000RiPmCQAV,27,a1Y4W000002bRxxUAE,,a1Y4W000002bRxxUAE,
a1j4W00000RiPmDQAV,28,a1Y4W000002bRxyUAE,,a1Y4W000002bRxyUAE,
a1j4W00000RiPmEQAV,29,a1Y4W000002bRy4UAE,,a1Y4W000002bRy4UAE,
a1j4W00000RiPmFQAV,30,a1Y4W000002bRy4UAE,,a1Y4W000002bRy4UAE,
a1j4W00000RiPlqQAF,31,a1Y4W000002bRxvUAE,,a1Y4W000002bRxvUAE,
a1j4W00000RiPlyQAF,32,,,,
a1j4W00000RiPlCQAV,33,,,,
a1j4W00000RiPlDQAV,34,,,,
a1j4W00000RiPlzQAF,35,,,,
a1j4W00000RiPm0QAF,36,,,,
a1j4W00000RiPlvQAF,37,,,,
a1j4W00000RiPlrQAF,38,a1Y4W000002bRxwUAE,,a1Y4W000002bRxwUAE,
a1j4W00000RiPlsQAF,39,a1Y4W000002bRxwUAE,,a1Y4W000002bRxwUAE,
a1j4W00000RiPm1QAF,40,a1Y4W000002bRy1UAE,,a1Y4W000002bRy1UAE,
a1j4W00000RiPm2QAF,41,,,,
a1j4W00000RiPm3QAF,42,,,,
a1j4W00000RiPlEQAV,43,,,,
a1j4W00000RiPlFQAV,44,,,,
a1j4W00000RiPlGQAV,45,,,,
a1j4W00000RiPlHQAV,46,,,,
a1j4W00000RiPlIQAV,47,,,,
a1j4W00000RiPlJQAV,48,,,,
a1j4W00000RiPlKQAV,49,,,,
a1j4W00000RiPlLQAV,50,,,,
a1j4W00000RiPlMQAV,51,,,,
a1j4W00000RiPlNQAV,52,,,,
a1j4W00000RiPlOQAV,53,,,,
a1j4W00000RiPlPQAV,54,,,,
a1j4W00000RiPlQQAV,55,,,,
a1j4W00000RiPlRQAV,56,,,,
a1j4W00000RiPlSQAV,57,,,,
a1j4W00000RiPlTQAV,58,,,,
a1j4W00000RiPlUQAV,59,,,,
a1j4W00000RiPlVQAV,60,,,,
a1j4W00000RiPlWQAV,61,,,,
a1j4W00000RiPlXQAV,62,,,,
a1j4W00000RiPlYQAV,63,,,,
a1j4W00000RiPlZQAV,64,,,,
a1j4W00000RiPlaQAF,65,,,,
a1j4W00000RiPlbQAF,66,,,,
a1j4W00000RiPlcQAF,67,,,,
a1j4W00000RiPldQAF,68,,,,
a1j4W00000RiPleQAF,69,,,,
a1j4W00000RiPlfQAF,70,,,,
