Id,Name,joinapi__Disable_Item_Navigation_URL__c,joinapi__Dynamic_Item_Selection__c,joinapi__Enable_Account_Lookup__c,joinapi__Form__c,joinapi__Instructions__c,joinapi__Is_Authentication_Step__c,joinapi__Is_Confirmation_Step__c,joinapi__Is_Custom_Page__c,joinapi__Is_Final_Step__c,joinapi__Is_First_Step__c,joinapi__Is_Marketing_Step__c,joinapi__Is_Payment_Step__c,joinapi__Is_Product_Step__c,joinapi__Is_Published__c,joinapi__Is_Qualifying_Question__c,joinapi__Join_Process__c,joinapi__Login_Button_Label__c,joinapi__Login_Header__c,joinapi__Login_Instructions__c,joinapi__Navigation_URL__c,joinapi__New_User_Button_Label__c,joinapi__New_User_Header__c,joinapi__New_User_Instructions__c,joinapi__Next_Step_Button_Label__c,joinapi__Next_Step__c,joinapi__Order__c,joinapi__Page_Title__c,joinapi__Product_Step_Item__c,joinapi__Specific_Item_Selection__c,joinapi__Store__c,joinapi__Visual_Force_Page_API_Name__c,joinapi__Form__r.Name,joinapi__Join_Process__r.Id,joinapi__Next_Step__r.Id,joinapi__Product_Step_Item__r.Name,joinapi__Store__r.Name
a204W00000Ex6tEQAR,000008,false,false,false,,,false,false,false,false,true,true,false,false,false,false,,Login,Login,,,Create Login,Create Account,,,,,Membership Types,,false,,,,,,,
a204W00000Ex6tDQAR,000009,false,false,false,,,false,false,false,false,false,true,false,false,false,false,,Login,Login,,,Create Login,Create Account,,Next Step,,,Marketing,,false,,,,,,,
a204W00000Ex6tGQAR,000010,false,false,false,,,false,false,false,false,false,true,false,false,false,false,,Login,Login,,,Create Login,Create Account,,Next Step,,,Marketing,,false,,,,,,,
a204W00000Ex6tHQAR,000011,false,false,false,,,false,false,false,false,false,false,false,false,false,true,,Login,Login,,,Create Login,Create Account,,,,,Qualifying Questions,,false,,,,,,,
a204W00000Ex6smQAB,000012,false,false,false,,,false,false,false,true,false,false,true,false,true,false,,Login,Login,,,Create Login,Create Account,,Next,,,Select a Membership,,false,a1P4W000004umaMUAQ,,,,,,FON-International Association Store
a204W00000Ex6snQAB,000013,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6smQAB,,Institutional Membership,a154W000008mjpAQAQ,true,a1P4W000004umaMUAQ,,,,a204W00000Ex6smQAB,FON-Institutional Membership,FON-International Association Store
a204W00000Ex6soQAB,000014,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6smQAB,,Company Membership,a154W000008mjpAQAQ,true,a1P4W000004umaMUAQ,,,,a204W00000Ex6smQAB,FON-Institutional Membership,FON-International Association Store
a204W00000Ex6spQAB,000015,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6smQAB,,Associate Membership,a154W000008mjpAQAQ,true,a1P4W000004umaMUAQ,,,,a204W00000Ex6smQAB,FON-Institutional Membership,FON-International Association Store
a204W00000Ex6sqQAB,000016,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6smQAB,,Professional Membership,a154W000008mjpAQAQ,true,a1P4W000004umaMUAQ,,,,a204W00000Ex6smQAB,FON-Institutional Membership,FON-International Association Store
a204W00000Ex6srQAB,000017,false,false,false,,,false,false,false,false,false,false,false,true,true,false,,Login,Login,,,Create Login,Create Account,,,a204W00000Ex6smQAB,,Student Membership,a154W000008mjpAQAQ,true,a1P4W000004umaMUAQ,,,,a204W00000Ex6smQAB,FON-Institutional Membership,FON-International Association Store
a204W00000Ex6tFQAR,000018,false,false,false,,,false,false,false,false,true,true,false,false,true,false,,Login,Login,,,Create Login,Create Account,,,,,Membership Types,,false,,,,,,,
a204W00000Ex6ssQAB,000019,false,false,false,,"<p>How to Become a Member?</p><p>                      American Educational Institute is selling Memberships for their Students,Professors,Admins and Staff.  Memberships are classified as &quot;<strong>Student Membership</strong>&quot; and &quot;<strong>Professional Membership</strong>&quot;. AIE allows you to donate Funds to &quot;Askland Memorial Scholarship&quot; and &quot; Save the Whales&quot;(Donation Levels are derived  based on the Type of Fund/Donation Program)</p><p><strong>To Become a Member:</strong></p><ol><li>A User must be Authenticated to purchase a Membership.</li><li>A User must fill the Membership Application Form and make sure that the required fields are completely filled</li><li>Membership Type is Derived based on the Role Specified on the Membership Application.</li></ol><p>      (If the Role is Student then the User will be able to purchase a Student Membership and If the Role is Admin/Professor/Staff,  </p><p>          <span style=""background-color: rgb(255, 255, 255);"">then the User will be able to purchase a Professional Membership)</span>.</p><p>4.User can donate if you wish to make a donation.</p><p><br></p><p><br></p><p><strong style=""background-color: rgb(238, 238, 238); color: rgb(85, 85, 85);"">About American Educational Institute</strong></p><p><a href=""http://www.aeiclaimslaw.com/"" target=""_blank"" style=""background-color: rgb(238, 238, 238); color: rgb(45, 114, 172);"">American Educational Institute (AEI)</a><span style=""background-color: rgb(238, 238, 238); color: rgb(85, 85, 85);"">, established in 1969, is the premier provider of self-study programs in insurance claims law. Courses are practical, flexible, and interactive. Programs in: Legal Principles, Liability, Property, Workers&#39; Compensation, Fraud Investigation and Defense, and Automobile lead to industry-recognized designations including AEI&#39;s highest, the Senior Claim Law Associate (SCLA). Courses are approved for continuing education credit toward adjuster license renewal in many states and college credit by the National College Credit Recommendation Service.</span></p>",false,false,false,false,true,true,false,false,false,false,a1y4W0000065uXhQAI,Login,Login,,,Create Login,Create Account,,,,0,Become a Member Today!,,false,,,,a1y4W0000065uXhQAI,,,
a204W00000Ex6stQAB,000023,false,true,false,,,false,false,false,false,false,false,false,true,false,false,a1y4W0000065uXhQAI,Login,Login,,,Create Login,Create Account,,,,7,Product Flow,,false,,,,a1y4W0000065uXhQAI,,,
a204W00000Ex6suQAB,000026,false,false,false,,<p>You must be logged in to become a member. Create an Account here if you do not have an Account with AIE.</p>,true,false,false,false,false,false,false,false,false,false,a1y4W0000065uXhQAI,Login,Login,<p>Provide the username and Password.</p>,,Create Login,Create Account,"<p><span style=""background-color: rgb(255, 255, 255);"">Please fill the mandatory details and </span>Create an Account here.</p>",,a204W00000Ex6svQAB,5,Login or Create an Account,,false,,,,a1y4W0000065uXhQAI,a204W00000Ex6svQAB,,
