PagesApi__Page_Element__c,PagesApi__Key__c,PagesApi__Type__c,PagesApi__Value__c,Errors,Id
a0aR000000AH6ZYIA1,numberOfPaymentsAllTimeLabel,String,For All Time,,a0ZR0000005orJXMAY
a0aR000000AH6ZYIA1,catalog,String,a0s4W00000ddtfHQAQ,,a0ZR0000005orJYMAY
a0aR000000AH6ZYIA1,title,String,Fundraising for a Education!,,a0ZR0000005orJZMAY
a0aR000000AH6ZYIA1,instructions,String,Donate today to make a difference..,,a0ZR0000005orJaMAI
a0aR000000AH6ZYIA1,selectAmountLabel,String,Donate,,a0ZR0000005orJbMAI
a0aR000000AH6ZYIA1,suggestedLevelOfGiving,String,"10,100, 200,500,100",,a0ZR0000005orJcMAI
a0aR000000AH6ZYIA1,enableOtherAmount,Boolean,true,,a0ZR0000005orJdMAI
a0aR000000AH6ZYIA1,otherDonationLabel,String,Other,,a0ZR0000005orJeMAI
a0aR000000AH6ZYIA1,donationAmountLabel,String,Donation Amount,,a0ZR0000005orJfMAI
a0aR000000AH6ZYIA1,donationTypeLabel,String,Donation Type,,a0ZR0000005orJgMAI
a0aR000000AH6ZYIA1,oneTimeDonationLabel,String,One-Time,,a0ZR0000005orJhMAI
a0aR000000AH6ZYIA1,recurringDonationLabel,String,Monthly,,a0ZR0000005orJiMAI
a0aR000000AH6ZYIA1,numberOfPayments,String,"2,3,4,5,6,7,8,9,10,11,12,24,36",,a0ZR0000005orJjMAI
a0aR000000AH6ZYIA1,supportingFundLabel,String,Available Funds,,a0ZR0000005orJkMAI
a0aR000000AH6ZYIA1,areaOfGreatestNeedLabel,String,Area Of Greatest Need,,a0ZR0000005orJlMAI
a0aR000000AH6ZYIA1,defaultFund,String,,,a0ZR0000005orJmMAI
a0aR000000AH6ZYIA1,chooseFromAList,String,Select Funds,,a0ZR0000005orJnMAI
a0aR000000AH6ZYIA1,fundSearchType,String,Picklist,,a0ZR0000005orJoMAI
a0aR000000AH6ZYIA1,writeInLabel,String,Write In,,a0ZR0000005orJpMAI
a0aR000000AH6ZYIA1,writeInDefaultItem,String,,,a0ZR0000005orJqMAI
a0aR000000AH6ZYIA1,fundSearchLabel,String,Fund Search,,a0ZR0000005orJrMAI
a0aR000000AH6ZYIA1,filterByCategoryLabel,String,Filter By Category,,a0ZR0000005orJsMAI
a0aR000000AH6ZYIA1,viewMoreLabel,String,View More,,a0ZR0000005orJtMAI
a0aR000000AH6ZYIA1,searchResultsHeaderLabel,String,Search Results,,a0ZR0000005orJuMAI
a0aR000000AH6ZYIA1,noSearchResultsHeaderLabel,String,Uh oh! Couldn't find anything,,a0ZR0000005orJvMAI
a0aR000000AH6ZYIA1,continueModalLabel,String,Continue,,a0ZR0000005orJwMAI
a0aR000000AH6ZYIA1,preferencesLabel,String,Options,,a0ZR0000005orJxMAI
a0aR000000AH6ZYIA1,iWishToGiveSummaryTableLabel,String,I Wish To Give...,,a0ZR0000005orJyMAI
