Name,OrderApi__Active_Assignments__c,OrderApi__Assignment_Inventory__c,OrderApi__Assignment_SObject__c,OrderApi__Assignments_Display_Label__c,OrderApi__Available_Inventory__c,OrderApi__Business_Group__c,OrderApi__Defer_Revenue__c,OrderApi__Deferred_Revenue_Account__c,OrderApi__Deferred_Revenue_Term__c,OrderApi__Description__c,OrderApi__Disable_Scheduling__c,OrderApi__Enable_Assignment_Inventory__c,OrderApi__Enable_Assignments__c,OrderApi__Enable_Item_Class_Inventory__c,OrderApi__Flex_Day_of_the_Month__c,OrderApi__Interview_Form_Display_Label__c,OrderApi__Is_Active__c,OrderApi__Is_Contribution__c,OrderApi__Is_Downloadable__c,OrderApi__Is_Event__c,OrderApi__Is_Inventoried__c,OrderApi__Is_Publication__c,OrderApi__Is_Service__c,OrderApi__Is_Shipping_Carrier__c,OrderApi__Is_Subscription__c,OrderApi__Is_Tax_Deductible__c,OrderApi__Is_Tax__c,OrderApi__Is_Taxable__c,OrderApi__Refresh__c,OrderApi__Require_Assignments__c,OrderApi__Require_Shipping__c,OrderApi__Revenue_Recognition_Date__c,OrderApi__Revenue_Recognition_Rule__c,OrderApi__Revenue_Recognition_Term_Rule__c,OrderApi__Shipping_GL_Account__c,OrderApi__Sold_Inventory__c,OrderApi__Subscription_Plan_Display_Label__c,OrderApi__Use_Default_Tax_Rate__c,EventApi__Event__c,EventApi__Is_Event_Session__c,EventApi__Is_Schedule_Item_Class__c,EventApi__Is_Sponsor_Class__c,EventApi__Is_Ticket_Type_Class__c,Errors,Id
42368f35-f793-4-Ticket Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,true,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,a1mR0000001R1zWIAS,false,false,false,true,,a19R0000003TaAQIA0
e45f0075-214d-4-Ticket Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,true,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,false,false,true,,a19R0000003TaARIA0
e45f0075-214d-4-Sponsor Class,,,,,,a0sR0000004M9vaIAC,false,,,,false,false,false,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,false,true,false,,a19R0000003TaASIA0
Downloadables,,,,,,a0sR0000004M9vaIAC,false,,,,false,false,false,false,,,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,false,false,false,,a19R0000003TaATIA0
0daaa35a-f3dd-4-Ticket Class,12,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,true,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,9,,false,a1mR0000001R1zUIAS,false,false,false,true,,a19R0000003TaAUIA0
0daaa35a-f3dd-4-Schedule Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,false,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,37,,false,a1mR0000001R1zUIAS,false,true,false,false,,a19R0000003TaAVIA0
0daaa35a-f3dd-4-Sponsor Class,,,,,,a0sR0000004M9vaIAC,false,,,,false,false,false,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,0,,false,a1mR0000001R1zUIAS,false,false,true,false,,a19R0000003TaAWIA0
0686850f-0c29-4-Ticket Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,true,false,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,false,false,true,,a19R0000003TaAXIA0
db48b68d-843b-4-Ticket Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,true,false,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,false,false,true,,a19R0000003TaAYIA0
41f816d0-e0cd-4-Ticket Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,true,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,a1mR0000001R1zVIAS,false,false,false,true,,a19R0000003TaAZIA0
41f816d0-e0cd-4-Schedule Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,false,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,a1mR0000001R1zVIAS,false,true,false,false,,a19R0000003TaAaIAK
6dfc63a1-f38e-4-Ticket Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,true,false,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,false,false,true,,a19R0000003TaAbIAK
d27b72fe-7b7c-4-Ticket Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,true,false,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,false,false,true,,a19R0000003TaAcIAK
ef7830af-ac33-4-Ticket Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,true,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,false,false,true,,a19R0000003TaAdIAK
bf49a80e-b3e0-4-Ticket Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,true,false,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,false,false,true,,a19R0000003TaAeIAK
bf49a80e-b3e0-4-Schedule Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,false,false,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,true,false,false,,a19R0000003TaAfIAK
bf49a80e-b3e0-4-Sponsor Class,,,,,,a0sR0000004M9vaIAC,false,,,,false,false,false,false,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,false,true,false,,a19R0000003TaAgIAK
d6615f2b-ad96-4-Ticket Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,true,false,,,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,false,false,true,,a19R0000003TaAhIAK
cf7bbc41-ae72-4-Ticket Class,1,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,true,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,1,,false,,false,false,false,true,,a19R0000003TaAiIAK
cf7bbc41-ae72-4-Schedule Class,,,EventApi__Attendee__c,,,a0sR0000004M9vaIAC,false,,,,false,false,false,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,2,,false,,false,true,false,false,,a19R0000003TaAjIAK
cf7bbc41-ae72-4-Sponsor Class,,,,,,a0sR0000004M9vaIAC,false,,,,false,false,false,false,,,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,,false,,false,false,true,false,,a19R0000003TaAkIAK
