Id,Name
a104W00000FuSwjQAF,1000 - Cash
a104W00000FuSwkQAF,1100 - Accounts Receivable
a104W00000FuSwmQAF,4000 - Income
a104W00000FuSx5QAF,2200 - Deferred Income
a104W00000FuSx9QAF,4100 - Organization Membership Income
a104W00000FuSxAQAV,4200 - Individual Membership Income
a104W00000FuSxCQAV,4400 - Event Income
a104W00000FuSxDQAV,4500 - Merchandise Income
a104W00000FuSxEQAV,6055 - Shipping
a104W00000FuSxoQAF,4000-10 - FDN Dorothy Vaughan Scholarship Income
a104W00000FuSxqQAF,4100 Merchandise Income
